DISEASE_NAME,CAUSE,CURE,MEDICINE,WHY
Apple___Apple_scab,Fungus (Venturia inaequalis),"Use resistant apple varieties, apply fungicides, prune infected branches, and maintain good air circulation.",Mancozeb,"Effective against various fungal diseases, including apple scab. Follow label instructions for application rates and timing."
Apple___Black_rot,Fungus (Botryosphaeria obtusa),"Remove infected fruits, prune infected branches, apply fungicides, and maintain good orchard sanitation.",Thiophanate-methyl,Thiophanate-methyl is a systemic fungicide that can be absorbed by the plant and provide protection against apple black rot from within. It inhibits fungal cell division and growth. Use as directed on the label and follow safety precautions.
Apple___Cedar_apple_rust,Fungus (Gymnosporangium juniperi-virginianae),"Remove nearby juniper or cedar trees, apply fungicides preventively, and plant resistant apple varieties.",Myclobutanil,"Myclobutanil is a systemic fungicide that is absorbed by the plant and translocated to various parts, providing long-lasting protection against fungal diseases. It is available in various formulations, such as emulsifiable concentrate and wettable powder, and is effective against rust diseases when applied preventively."
Apple___healthy,No specific disease present. ,Maintain proper care and management practices to prevent diseases.,None required,none
Blueberry___healthy',No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none
Cherry_(including_sour)___Powdery_mildew,Fungus (Podosphaera clandestina),"Apply fungicides preventively, prune infected branches, and maintain good air circulation.",Neem Oil,Neem oil is a botanical fungicide derived from the neem tree (Azadirachta indica) and has antifungal properties. It disrupts fungal cell membranes and inhibits spore germination. Neem oil is often used as part of an integrated pest management (IPM) program and can be applied preventively or as a curative treatment.
"Cherry_(including_sour)___healthy',",No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none 
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Fungus (Cercospora zeae-maydis),"crop resistance, crop rotation, residue management, use of fungicides, and weed control.",Azoxystrobin,"Azoxystrobin is a systemic fungicide that belongs to the strobilurin group. It inhibits fungal respiration and prevents the development of Gray Leaf Spot. Azoxystrobin is available in various formulations, such as liquid concentrates and granules, and can be applied preventively or as a curative treatment."
Corn_(maize)___Common_rust_,Fungus (Puccinia sorghi),"controlled by the use of resistant maize hybrids, and by foliar applications of fungicides on corn. ",mancozeb.,"mancozeb  effective against common rust. They inhibit fungal growth by disrupting the synthesis of ergosterol, an essential component of fungal cell membranes."
Corn_(maize)___Northern_Leaf_Blight,Fungus (Exserohilum turcicum),"Rotate crops, use disease-resistant corn varieties, apply fungicides, and maintain good field sanitation.",tebuconazole,"tebuconazole is atriazole-based fungicides that can effectively control Northern Leaf Blight. They inhibit fungal cell membrane synthesis, preventing further growth and spread of the pathogen."
Corn_(maize)___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none
Grape___Black_rot,Fungus (Guignardia bidwellii),"Remove infected fruits and vines, apply fungicides preventively, and practice good vineyard sanitation.","Mancozeb,","highly effective against black rot. Because these fungicides are strictly protectants, they must be applied before the fungus infects or enters the plant. They protect fruit and foliage by preventing spore germination"
Grape___Esca_(Black_Measles),Fungus (Phaeomoniella chlamydospora),"Prune infected vines, apply fungicides, and maintain good vineyard hygiene.",copper hydroxide ,copper hydroxide are commonly used to control fungal diseases in grapes. They can help reduce the spread of fungal spores and inhibit fungal growth on vines.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Fungus (Isariopsis spp.),"Apply fungicides preventively, prune infected vines, and maintain good vineyard sanitation.",propiconazole,propiconazole are systemic fungicides that can be absorbed by the plant and provide long-lasting protection against Isariopsis Leaf Spot.
Grape___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none
Orange___Haunglongbing_(Citrus_greening),Bacteria (Candidatus Liberibacter spp.),"There is no cure once trees are infected. Preventive measures include planting disease-free trees, controlling insect vectors, and removing infected trees.",no cure available,no
Peach___Bacterial_spot,Bacterium (Xanthomonas arboricola pv. pruni),"Apply copper-based fungicides, prune infected branches, and practice orchard sanitation.",Copper Sulfate,"fungicides help to control the spread of the bacteria and reduce the severity of the disease. However, it's important to note that fungicides are not a cure for bacterial diseases but rather a means of managing them."
Peach___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none
"Pepper,_bell___Bacterial_spot",Bacterium (Xanthomonas campestris pv. vesicatoria),"Apply copper-based fungicides, practice crop rotation, and avoid overhead irrigation.",copper hydroxide,copper-based fungicides according to the manufacturer's instructions and recommended dosage. Copper sprays are effective in controlling bacterial spot when applied preventively or at the first signs of disease.
"Pepper,_bell___healthy",No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none 
Potato___Early_blight,Fungus (Alternaria solani),"Apply fungicides preventively, practice crop rotation, and remove infected plant debris.",Mancozeb,"Mancozeb is a fungicide commonly used to control early blight in potatoes. It works by inhibiting fungal cell respiration and can be applied preventively or curatively. Again, follow the manufacturer's instructions for proper application."
Potato___Late_blight,Fungus (Phytophthora infestans),"Apply fungicides preventively, practice crop rotation, and remove infected plant debris.",Metalaxyl," effective fungicide against late blight, Metalaxyl is a systemic fungicide that is absorbed by the plant and provides protection against the disease."
Potato___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none 
Raspberry___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none 
Soybean___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none 
Squash___Powdery_mildew,Fungus (Podosphaera xanthii),"Apply fungicides preventively, prune infected vines, and maintain good air circulation.",Azoxystrobin,This fungicide is systemic and offers long-lasting protection against powdery mildew.
